symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
EURUSD,5,BUY,2010.01.11 00:00,1.44143,2010.01.11 00:31,1.44293,0.37,150.0,38.46,tp 1.44293,0.0
EURUSD,4,BUY,2010.01.12 00:00,1.45145,2010.01.12 16:33,1.45296,0.31,151.0,32.22,tp 1.45295,0.7
EURUSD,2,SELL,2010.01.29 00:00,1.39616,2010.01.29 01:22,1.39492,0.25,124.0,22.22,tp 1.39496,0.1
EURUSD,3,SELL,2010.02.04 00:00,1.38894,2010.02.04 02:02,1.38774,1.17,120.0,101.17,tp 1.38774,0.1
EURUSD,3,SELL,2010.02.12 00:00,1.36885,2010.02.12 01:18,1.36763,0.46,122.0,41.03,tp 1.36765,0.1
EURUSD,3,SELL,2010.02.18 00:00,1.35992,2010.02.18 01:27,1.35870,0.36,122.0,32.33,tp 1.35872,0.1
EURUSD,3,SELL,2010.02.24 00:00,1.35141,2010.02.25 02:15,1.35020,0.29,121.0,25.35,tp 1.35021,1.1
EURUSD,3,SELL,2010.03.02 00:00,1.35671,2010.03.02 01:20,1.35548,0.31,123.0,28.13,tp 1.35551,0.1
EURUSD,3,SELL,2010.03.05 00:00,1.35793,2010.03.05 14:30,1.35673,0.32,120.0,28.30,tp 1.35673,0.6
EURUSD,0,SELL,2010.03.05 00:00,1.35793,2010.03.05 14:30,1.35639,0.32,154.0,36.33,tp 1.35643,0.6
EURUSD,0,SELL,2010.03.10 00:00,1.36013,2010.03.10 07:57,1.35857,0.32,156.0,36.74,tp 1.35863,0.3
EURUSD,3,SELL,2010.03.16 00:00,1.36731,2010.03.16 01:34,1.36610,0.37,121.0,32.77,tp 1.36611,0.1
EURUSD,3,SELL,2010.03.19 00:00,1.36075,2010.03.19 09:47,1.35955,0.32,120.0,28.24,tp 1.35955,0.4
EURUSD,0,SELL,2010.03.19 00:00,1.36075,2010.03.19 09:48,1.35923,0.32,152.0,35.78,tp 1.35925,0.4
EURUSD,3,SELL,2010.04.05 00:00,1.34900,2010.04.05 08:32,1.34780,0.26,120.0,23.15,tp 1.34780,0.4
EURUSD,0,SELL,2010.04.05 00:00,1.34900,2010.04.05 08:34,1.34742,0.26,158.0,30.49,tp 1.34750,0.4
EURUSD,3,SELL,2010.04.16 00:00,1.35789,2010.04.16 01:58,1.35664,0.30,125.0,27.64,tp 1.35669,0.1
EURUSD,0,SELL,2010.04.21 00:00,1.34409,2010.04.21 01:05,1.34259,0.24,150.0,26.81,tp 1.34259,0.0
EURUSD,3,SELL,2010.04.28 00:00,1.31644,2010.04.28 10:46,1.31523,0.17,121.0,15.64,tp 1.31524,0.4
EURUSD,3,SELL,2010.05.04 00:00,1.31884,2010.05.04 07:40,1.31762,0.17,122.0,15.74,tp 1.31764,0.3
EURUSD,3,SELL,2010.05.12 00:00,1.26329,2010.05.12 00:32,1.26209,0.11,120.0,10.46,tp 1.26209,0.0
EURUSD,3,SELL,2010.05.25 00:00,1.23491,2010.05.25 00:13,1.23370,0.09,121.0,8.83,tp 1.23371,0.0
EURUSD,3,SELL,2010.05.31 00:00,1.22807,2010.05.31 00:56,1.22682,0.08,125.0,8.15,tp 1.22687,0.0
EURUSD,3,SELL,2010.06.02 00:00,1.22113,2010.06.02 06:05,1.21993,0.08,120.0,7.87,tp 1.21993,0.3
EURUSD,3,SELL,2010.06.22 00:00,1.23239,2010.06.22 02:27,1.23118,0.09,121.0,8.85,tp 1.23119,0.1
EURUSD,3,SELL,2010.06.29 00:00,1.22805,2010.06.29 04:40,1.22684,0.09,121.0,8.88,tp 1.22685,0.2
EURUSD,0,SELL,2010.06.30 00:00,1.21898,2010.06.30 02:25,1.21747,0.09,151.0,11.16,tp 1.21748,0.1
EURUSD,3,SELL,2010.07.12 00:00,1.26413,2010.07.12 02:39,1.26292,0.12,121.0,11.50,tp 1.26293,0.1
EURUSD,3,SELL,2010.07.21 00:01,1.28910,2010.07.21 05:37,1.28789,0.17,121.0,15.97,tp 1.28790,0.2
EURUSD,3,SELL,2010.08.06 00:00,1.31844,2010.08.06 11:33,1.31723,0.27,121.0,24.80,tp 1.31724,0.5
EURUSD,3,SELL,2010.08.11 00:00,1.31745,2010.08.11 01:39,1.31622,0.28,123.0,26.17,tp 1.31625,0.1
EURUSD,0,SELL,2010.08.12 00:00,1.28442,2010.08.12 11:53,1.28292,0.18,150.0,21.05,tp 1.28292,0.5
EURUSD,3,SELL,2010.08.20 00:00,1.28171,2010.08.20 00:54,1.28051,0.18,120.0,16.87,tp 1.28051,0.0
EURUSD,3,SELL,2010.08.31 00:00,1.26630,2010.08.31 02:06,1.26508,0.16,122.0,15.43,tp 1.26510,0.1
EURUSD,3,SELL,2010.09.08 00:00,1.26831,2010.09.08 10:15,1.26711,0.16,120.0,15.15,tp 1.26711,0.4
EURUSD,0,SELL,2010.09.08 00:00,1.26831,2010.09.08 10:16,1.26679,0.16,152.0,19.20,tp 1.26681,0.4
EURUSD,5,BUY,2010.10.21 00:00,1.39585,2010.10.21 01:52,1.39740,0.36,155.0,39.93,tp 1.39735,0.1
EURUSD,5,BUY,2010.10.25 00:00,1.39534,2010.10.25 02:09,1.39686,0.40,152.0,43.53,tp 1.39684,0.1
EURUSD,4,BUY,2010.10.29 00:00,1.39302,2010.10.29 01:53,1.39455,0.41,153.0,44.98,tp 1.39452,0.1
EURUSD,5,BUY,2010.10.29 00:00,1.39302,2010.10.29 01:53,1.39455,0.41,153.0,44.98,tp 1.39452,0.1
EURUSD,4,BUY,2010.11.03 00:00,1.40325,2010.11.03 11:01,1.40475,0.33,150.0,35.24,tp 1.40475,0.5
EURUSD,5,BUY,2010.11.03 00:00,1.40325,2010.11.03 11:01,1.40475,0.33,150.0,35.24,tp 1.40475,0.5
EURUSD,5,BUY,2010.11.22 00:00,1.37371,2010.11.22 01:12,1.37521,0.59,150.0,64.35,tp 1.37521,0.1
EURUSD,2,SELL,2010.12.07 00:00,1.33088,2010.12.07 00:19,1.32967,2.63,121.0,239.33,tp 1.32968,0.0
EURUSD,3,SELL,2010.12.08 00:00,1.32652,2010.12.08 00:49,1.32531,2.39,121.0,218.21,tp 1.32532,0.0
EURUSD,4,BUY,2010.12.14 00:00,1.33872,2010.12.14 07:35,1.34024,2.74,152.0,310.75,tp 1.34022,0.3
EURUSD,0,SELL,2010.12.16 00:00,1.32217,2010.12.16 16:10,1.32065,2.19,152.0,252.06,tp 1.32067,0.7
EURUSD,3,SELL,2010.12.29 00:00,1.31077,2010.12.29 00:48,1.30956,1.21,121.0,111.80,tp 1.30957,0.0
EURUSD,2,SELL,2011.01.06 00:00,1.31495,2011.01.06 03:38,1.31375,0.57,120.0,52.06,tp 1.31375,0.2
EURUSD,0,SELL,2011.01.06 00:00,1.31495,2011.01.06 03:55,1.31345,2.08,150.0,237.54,tp 1.31345,0.2
EURUSD,4,BUY,2011.01.14 00:00,1.33491,2011.01.14 07:54,1.33641,1.42,150.0,159.38,tp 1.33641,0.3
EURUSD,1,BUY,2011.01.24 00:00,1.36113,2011.01.24 15:46,1.36265,0.48,152.0,53.54,tp 1.36263,0.7
EURUSD,1,BUY,2011.02.17 00:00,1.35610,2011.02.17 00:49,1.35762,0.53,152.0,59.34,tp 1.35760,0.0
EURUSD,5,BUY,2011.02.18 00:00,1.36068,2011.02.18 00:34,1.36219,0.48,151.0,53.21,tp 1.36218,0.0
EURUSD,4,BUY,2011.02.21 00:00,1.36901,2011.02.21 00:25,1.37052,0.41,151.0,45.17,tp 1.37051,0.0
EURUSD,5,BUY,2011.02.10 00:00,1.37252,2011.02.23 12:40,1.37402,0.38,150.0,39.32,tp 1.37402,13.5
EURUSD,5,BUY,2011.03.14 00:00,1.39524,2011.03.14 11:34,1.39676,0.28,152.0,30.47,tp 1.39674,0.5
EURUSD,5,BUY,2011.03.18 00:00,1.40172,2011.03.18 00:59,1.40325,0.26,153.0,28.35,tp 1.40322,0.0
EURUSD,5,BUY,2011.04.01 00:00,1.41756,2011.04.01 17:44,1.41908,0.23,152.0,24.64,tp 1.41906,0.7
EURUSD,4,BUY,2011.04.20 00:00,1.43339,2011.04.20 01:39,1.43491,0.20,152.0,21.19,tp 1.43489,0.1
EURUSD,5,BUY,2011.04.21 00:00,1.45229,2011.04.21 02:34,1.45380,0.18,151.0,18.70,tp 1.45379,0.1
EURUSD,5,BUY,2011.05.20 00:00,1.43098,2011.05.20 01:07,1.43248,0.25,150.0,26.18,tp 1.43248,0.0
EURUSD,1,BUY,2011.05.25 00:00,1.41037,2011.05.26 02:37,1.41190,0.33,153.0,35.27,tp 1.41187,1.1
EURUSD,1,BUY,2011.05.27 00:00,1.41363,2011.05.27 02:42,1.41514,0.32,151.0,34.15,tp 1.41513,0.1
EURUSD,5,BUY,2011.05.30 00:00,1.43142,2011.05.31 01:01,1.43293,0.26,151.0,27.27,tp 1.43292,1.0
EURUSD,4,BUY,2011.06.01 00:00,1.43965,2011.06.01 00:23,1.44117,0.24,152.0,25.31,tp 1.44115,0.0
EURUSD,1,BUY,2011.06.20 00:00,1.42764,2011.06.20 01:02,1.42917,0.33,153.0,35.33,tp 1.42914,0.0
EURUSD,4,BUY,2011.06.22 00:00,1.43998,2011.06.22 08:25,1.44148,0.28,150.0,29.14,tp 1.44148,0.4
EURUSD,5,BUY,2011.06.22 00:00,1.43998,2011.06.22 08:25,1.44148,0.28,150.0,29.14,tp 1.44148,0.4
EURUSD,1,BUY,2011.06.28 00:00,1.42891,2011.06.28 00:40,1.43043,0.35,152.0,37.19,tp 1.43041,0.0
EURUSD,5,BUY,2011.06.28 00:00,1.42891,2011.06.28 00:40,1.43043,0.35,152.0,37.19,tp 1.43041,0.0
EURUSD,4,BUY,2011.06.30 00:00,1.44357,2011.06.30 01:05,1.44752,0.29,395.0,79.14,tp 1.44507,0.0
EURUSD,5,BUY,2011.07.21 00:00,1.42226,2011.07.21 00:28,1.42382,0.46,156.0,50.40,tp 1.42376,0.0
EURUSD,1,BUY,2011.07.08 00:00,1.43594,2011.07.21 16:20,1.43744,0.35,150.0,34.28,tp 1.43744,13.7
EURUSD,1,BUY,2011.07.22 00:00,1.44217,2011.07.22 09:30,1.44369,0.34,152.0,35.80,tp 1.44367,0.4
EURUSD,4,BUY,2011.07.22 00:00,1.44217,2011.07.22 09:30,1.44369,0.34,152.0,35.80,tp 1.44367,0.4
