symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
GBPUSD,2,BUY,2010.01.15 00:00,1.63395,2010.01.15 17:12,1.62394,1.00,-1001.0,-696.55,sl 1.62395,0.7
GBPUSD,2,BUY,2010.01.19 00:00,1.63493,2010.01.20 13:17,1.62492,1.00,-1001.0,-708.34,sl 1.62493,1.6
GBPUSD,1,SELL,2010.02.05 00:00,1.57660,2010.02.05 19:42,1.55651,1.00,2009.0,1477.67,tp 1.55660,0.8
GBPUSD,2,BUY,2010.06.28 00:00,1.50566,2010.06.30 16:38,1.49564,1.00,-1002.0,-816.89,sl 1.49566,2.7
GBPUSD,2,BUY,2010.07.02 00:00,1.51693,2010.07.09 18:54,1.50693,1.00,-1000.0,-791.94,sl 1.50693,7.8
GBPUSD,1,SELL,2010.08.12 00:00,1.56398,2010.08.17 00:00,1.56569,1.00,-171.0,-138.51,,5.0
GBPUSD,1,SELL,2010.09.21 00:00,1.55459,2010.09.22 00:00,1.56091,1.00,-632.0,-478.58,,1.0
GBPUSD,2,BUY,2010.12.06 00:00,1.57700,2010.12.06 11:55,1.56698,1.00,-1002.0,-755.88,sl 1.56700,0.5
GBPUSD,2,BUY,2010.12.08 00:00,1.57576,2010.12.15 00:00,1.57703,1.00,127.0,93.88,,7.0
GBPUSD,0,SELL,2010.12.20 00:00,1.55144,2010.12.27 00:00,1.54413,0.61,731.0,332.86,,7.0
GBPUSD,0,SELL,2010.12.16 00:00,1.55473,2010.12.27 00:00,1.54413,0.70,1060.0,555.23,,11.0
GBPUSD,1,SELL,2010.12.31 00:00,1.54288,2010.12.31 11:32,1.55289,1.00,-1001.0,-748.75,sl 1.55288,0.5
GBPUSD,2,BUY,2011.01.14 00:00,1.58314,2011.01.18 10:30,1.60320,1.00,2006.0,1496.49,tp 1.60314,4.4
GBPUSD,2,BUY,2011.05.18 00:00,1.62487,2011.05.18 13:25,1.61485,1.00,-1002.0,-703.72,sl 1.61487,0.6
GBPUSD,2,BUY,2011.05.20 00:00,1.62277,2011.05.23 10:53,1.61275,1.00,-1002.0,-716.41,sl 1.61277,3.5
GBPUSD,2,BUY,2011.05.26 00:00,1.62746,2011.05.27 17:28,1.64746,1.00,2000.0,1401.87,tp 1.64746,1.7
GBPUSD,2,BUY,2011.06.14 00:00,1.63766,2011.06.15 12:10,1.62766,1.00,-1000.0,-699.10,sl 1.62766,1.5
GBPUSD,0,SELL,2011.06.23 00:00,1.60660,2011.06.29 00:00,1.59973,0.79,687.0,372.85,,6.0
