symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
USDCHF,1,SELL,2010.01.11 00:00,1.02376,2010.01.21 00:00,1.04406,0.09,-2030.0,-124.77,,10.0
USDCHF,0,SELL,2010.01.11 00:00,1.02376,2010.01.21 00:00,1.04406,0.09,-2030.0,-124.77,,10.0
USDCHF,0,SELL,2010.03.01 00:00,1.07422,2010.08.26 15:46,1.02421,0.09,5001.0,333.79,tp 1.02422,178.7
USDCHF,0,SELL,2010.03.08 00:52,1.07352,2010.08.26 16:00,1.02352,0.09,5000.0,334.26,tp 1.02352,171.6
USDCHF,1,SELL,2010.03.11 00:01,1.06992,2010.08.31 10:23,1.01991,0.09,5001.0,336.90,tp 1.01992,173.4
USDCHF,1,SELL,2010.03.04 00:00,1.06791,2010.08.31 11:02,1.01789,0.09,5002.0,337.25,tp 1.01791,180.5
USDCHF,0,SELL,2010.02.17 00:00,1.06638,2010.08.31 16:31,1.01636,0.09,5002.0,335.60,tp 1.01638,195.7
USDCHF,1,SELL,2010.02.17 00:00,1.06638,2010.08.31 16:31,1.01636,0.09,5002.0,335.60,tp 1.01638,195.7
USDCHF,0,SELL,2010.09.20 00:00,1.01050,2010.10.06 18:00,0.96049,0.10,5001.0,372.65,tp 0.96050,16.8
USDCHF,0,SELL,2010.09.14 00:00,1.00755,2010.10.07 09:36,0.95750,0.10,5005.0,372.03,tp 0.95755,23.4
USDCHF,0,SELL,2010.12.03 00:00,0.99272,2010.12.30 02:05,0.94268,0.10,5004.0,398.48,tp 0.94272,27.1
USDCHF,1,SELL,2010.10.29 00:00,0.98307,2010.12.31 15:45,0.93307,0.11,5000.0,435.06,tp 0.93307,63.7
USDCHF,0,SELL,2010.11.03 00:00,0.97931,2011.02.24 01:51,0.92929,0.11,5002.0,419.99,tp 0.92931,113.1
USDCHF,1,SELL,2010.11.03 00:00,0.97931,2011.02.24 01:51,0.92929,0.11,5002.0,419.99,tp 0.92931,113.1
USDCHF,1,SELL,2010.10.26 00:00,0.97102,2011.03.02 16:04,0.92091,0.11,5011.0,420.46,tp 0.92102,127.7
USDCHF,1,SELL,2011.01.13 00:00,0.96648,2011.03.15 17:41,0.91648,0.11,5000.0,424.54,tp 0.91648,61.7
USDCHF,0,SELL,2010.12.28 00:01,0.96001,2011.03.16 16:50,0.90993,0.11,5008.0,428.19,tp 0.91001,78.7
USDCHF,0,SELL,2011.01.24 00:00,0.95829,2011.03.16 17:17,0.90826,0.12,5003.0,469.95,tp 0.90829,51.7
USDCHF,0,SELL,2011.03.07 00:00,0.92537,2011.04.26 11:11,0.87534,0.13,5003.0,502.47,tp 0.87537,50.5
USDCHF,0,SELL,2011.04.07 00:00,0.91851,2011.04.27 00:22,0.86851,0.14,5000.0,546.45,tp 0.86851,20.0
USDCHF,1,SELL,2011.04.07 00:00,0.91851,2011.04.27 00:22,0.86851,0.14,5000.0,546.45,tp 0.86851,20.0
USDCHF,1,SELL,2011.03.31 00:00,0.91846,2011.04.27 00:22,0.86846,0.13,5000.0,506.77,tp 0.86846,27.0
USDCHF,1,SELL,2011.03.29 00:00,0.91684,2011.04.29 12:17,0.86684,0.13,5000.0,500.95,tp 0.86684,31.5
USDCHF,1,SELL,2011.05.17 00:00,0.88395,2011.06.03 15:25,0.83393,0.15,5002.0,617.00,tp 0.83395,17.6
USDCHF,0,SELL,2011.05.18 00:00,0.88014,2011.06.28 16:05,0.83009,0.15,5005.0,625.63,tp 0.83014,41.7
USDCHF,0,SELL,2011.05.25 00:00,0.87969,2011.06.28 16:05,0.82969,0.15,5000.0,626.18,tp 0.82969,34.7
USDCHF,1,SELL,2011.05.25 00:00,0.87969,2011.06.28 16:05,0.82969,0.15,5000.0,626.18,tp 0.82969,34.7
USDCHF,1,SELL,2011.07.06 00:00,0.84083,2011.07.29 14:50,0.79081,0.16,5002.0,702.74,tp 0.79083,23.6
USDCHF,0,SELL,2011.06.14 00:00,0.83695,2011.07.29 15:53,0.78692,0.16,5003.0,700.41,tp 0.78695,45.7
USDCHF,0,SELL,2011.07.11 00:00,0.83629,2011.07.29 17:40,0.78629,0.16,5000.0,704.30,tp 0.78629,18.7
USDCHF,1,SELL,2011.07.11 00:00,0.83629,2011.07.29 17:40,0.78629,0.16,5000.0,704.30,tp 0.78629,18.7
USDCHF,0,SELL,2011.07.26 00:00,0.80567,2011.08.08 07:26,0.75567,0.17,5000.0,783.01,tp 0.75567,13.3
USDCHF,0,SELL,2011.09.02 00:00,0.79515,2011.09.07 00:00,0.86173,0.18,-6658.0,-993.72,,5.0
USDCHF,1,SELL,2011.09.01 00:00,0.80669,2011.09.07 00:00,0.86173,0.18,-5504.0,-821.73,,6.0
USDCHF,1,SELL,2011.08.26 00:00,0.79378,2011.09.07 00:00,0.86173,0.18,-6795.0,-1015.24,,12.0
USDCHF,0,SELL,2011.12.21 00:00,0.93178,2012.03.05 00:00,0.91462,0.15,1716.0,204.17,,75.0
USDCHF,0,SELL,2011.12.01 00:00,0.91383,2012.03.05 00:00,0.91462,0.16,-79.0,-22.64,,95.0
USDCHF,1,SELL,2011.10.28 00:00,0.85954,2012.03.05 00:00,0.91462,0.19,-5508.0,-887.00,,129.0
USDCHF,1,SELL,2011.10.21 00:00,0.89402,2012.03.05 00:00,0.91462,0.18,-2060.0,-327.23,,136.0
USDCHF,1,SELL,2011.10.13 00:00,0.89536,2012.03.05 00:00,0.91462,0.18,-1926.0,-308.43,,144.0
USDCHF,0,SELL,2011.10.11 00:00,0.90389,2012.03.05 00:00,0.91462,0.17,-1073.0,-171.52,,146.0
USDCHF,1,SELL,2012.03.09 00:00,0.90784,2012.03.12 00:00,0.91951,0.16,-1167.0,-154.93,,3.0
USDCHF,0,SELL,2012.03.09 00:00,0.90784,2012.03.12 00:00,0.91951,0.16,-1167.0,-154.93,,3.0
USDCHF,1,SELL,2012.03.26 00:00,0.90796,2012.04.06 00:00,0.91998,0.16,-1202.0,-161.69,,11.0
USDCHF,1,SELL,2012.03.19 00:00,0.91534,2012.04.06 00:00,0.91998,0.16,-464.0,-64.39,,18.0
USDCHF,0,SELL,2012.03.19 00:00,0.91534,2012.04.06 00:00,0.91998,0.16,-464.0,-64.39,,18.0
