datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,cluPct,velPct,accPct,volPct,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2009.12.31 00:00,1.60717,1.62322,1.60465,1.61443,1.60385,1.56690,1.63726,1.63332,1.62292,1.60343,1.60119,1.60385,0.6595,3.0331,-1.3941,-1.1563,-0.5229,0.6858,0.8270,0.6595,1,0,0,0,1,1,1,1,1.60282,1.61249,-0.009667,0.002185,-2,0,0,0,0,1.0863,-0.1102,0.0997,0.0395,0.052,0.131,0.484,0.079,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2010.01.04 00:00,1.61210,1.62380,1.60554,1.60877,1.61011,1.56750,1.63706,1.63324,1.62056,1.60269,1.60403,1.61011,-0.0834,2.6330,-1.7283,-1.4984,-0.7275,0.3792,0.2953,-0.0834,1,0,0,0,1,1,0,0,1.60561,1.61260,-0.006988,0.002679,0,0,0,0,0,1.0349,-0.0709,0.1298,0.0362,0.044,0.111,0.563,0.028,0,0,0,0,0,0,-1,-1,1,1,0,0,0,1
2010.01.05 00:00,1.60875,1.61510,1.59633,1.59851,1.60724,1.56800,1.63680,1.63292,1.61758,1.60098,1.60377,1.60724,-0.5430,1.9459,-2.3391,-2.1073,-1.1790,-0.1546,-0.3279,-0.5430,1,0,0,0,0,0,0,0,1.60400,1.61257,-0.008575,-0.001587,0,0,0,0,0,1.0181,-0.0742,0.1739,0.0315,0.032,0.115,0.623,0.016,0,0,0,0,-1,-1,0,0,1,1,0,0,0,1
2010.01.06 00:00,1.59849,1.60609,1.59361,1.60076,1.60592,1.56843,1.63659,1.63255,1.61519,1.60058,1.60592,1.60268,-0.3214,2.0616,-2.1895,-1.9472,-0.8933,0.0112,-0.3214,-0.1198,1,0,0,0,1,0,0,0,1.60306,1.61252,-0.009462,-0.000886,-2,0,0,0,0,1.0020,-0.0709,0.1927,0.0291,0.028,0.115,0.643,0.008,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2010.01.07 00:00,1.60086,1.60574,1.58961,1.59258,1.60301,1.56874,1.63644,1.63201,1.61270,1.60024,1.60301,1.59728,-0.6507,1.5199,-2.6801,-2.4163,-1.2476,-0.4786,-0.6507,-0.2945,1,0,0,0,0,0,0,0,1.60018,1.61240,-0.012219,-0.002757,-2,0,0,0,0,1.0239,-0.0897,0.1282,0.0286,0.044,0.135,0.556,0.008,0,0,0,0,-1,0,0,0,0,1,0,0,0,1
2010.01.08 00:00,1.59255,1.61093,1.59147,1.60212,1.60087,1.56904,1.63641,1.63165,1.61073,1.60087,1.60055,1.59849,0.0782,2.1081,-2.0957,-1.8097,-0.5346,0.0782,0.0982,0.2273,1,0,0,0,1,1,1,1,1.59997,1.61237,-0.012401,-0.000182,-4,0,0,0,0,0.9880,-0.1022,-0.0048,0.0295,0.020,0.147,0.028,0.016,0,0,0,0,1,1,1,1,0,0,0,0,0,1
2010.01.11 00:00,1.60585,1.61920,1.60585,1.61131,1.60254,1.56941,1.63624,1.63120,1.61003,1.60254,1.60106,1.60200,0.5469,2.6698,-1.5236,-1.2195,0.0795,0.5469,0.6405,0.5809,1,0,0,1,1,1,1,1,1.60187,1.61228,-0.010416,0.001984,-2,0,0,0,0,0.9360,-0.1249,-0.0539,0.0416,0.008,0.167,0.282,0.111,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2010.01.12 00:00,1.61135,1.61931,1.60623,1.61676,1.60949,1.56993,1.63621,1.63077,1.60949,1.60424,1.60471,1.61006,0.4518,2.9828,-1.1885,-0.8590,0.4518,0.7806,0.7512,0.4159,1,0,0,1,1,1,1,1,1.60634,1.61230,-0.005967,0.004449,0,0,0,0,0,0.8713,0.0585,-0.0575,0.0506,0.004,0.095,0.321,0.194,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2010.01.13 00:00,1.61674,1.63055,1.61356,1.62712,1.60998,1.57061,1.63623,1.63033,1.60944,1.60795,1.60998,1.61840,1.0647,3.5978,-0.5567,-0.1967,1.0986,1.1922,1.0647,0.5390,1,0,0,1,1,1,1,1,1.61211,1.61239,-0.000282,0.005685,0,0,1,0,0,0.8603,0.1395,0.0527,0.0615,0.004,0.187,0.270,0.298,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2010.01.14 00:00,1.62816,1.63447,1.62495,1.63365,1.61819,1.57129,1.63624,1.62996,1.60978,1.61060,1.61819,1.62584,0.9553,3.9689,-0.1582,0.2263,1.4826,1.4311,0.9553,0.4802,1,0,1,1,1,1,1,1,1.61821,1.61250,0.005717,0.005998,2,1,1,0,0,0.8861,0.1626,0.5341,0.0706,0.012,0.206,0.877,0.413,0,0,1,0,0,0,0,0,1,1,1,0,0,1
