datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2009.12.31 00:00,1.03637,1.03837,1.02844,1.03454,1.03631,1.08508,1.04086,1.02552,1.03026,1.04043,1.03631,1.03588,-0.1708,-4.6574,-0.6073,0.8794,0.4149,-0.5663,-0.1708,-0.1290,0,0,1,1,0,0,0,0,1.03754,1.05049,-0.012947,-0.000218,-2,1,1,0,0,1.6634,0.1456,0.0478,0.0233,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2010.01.04 00:00,1.03472,1.04186,1.02625,1.02993,1.03455,1.08476,1.04043,1.02516,1.03164,1.03875,1.03455,1.03362,-0.4468,-5.0550,-1.0093,0.4648,-0.1657,-0.8488,-0.4468,-0.3573,0,0,1,0,0,0,0,0,1.03564,1.05012,-0.014480,-0.001533,-2,1,1,0,0,1.6625,0.1836,0.0365,0.0230,0,0,0,-1,0,0,0,0,0,0,1,1,0,0
2010.01.05 00:00,1.02995,1.03590,1.02519,1.03370,1.03425,1.08445,1.04000,1.02484,1.03309,1.03787,1.03425,1.03272,-0.0534,-4.6795,-0.6062,0.8643,0.0591,-0.4016,-0.0534,0.0946,0,0,1,1,0,0,1,0,1.03495,1.04976,-0.014816,-0.000337,-2,1,1,0,0,1.6615,0.1878,0.0305,0.0116,0,0,0,1,0,0,1,0,0,0,1,1,0,0
2010.01.06 00:00,1.03371,1.03787,1.02479,1.02804,1.03432,1.08416,1.03952,1.02447,1.03432,1.03607,1.03252,1.03056,-0.6073,-5.1768,-1.1043,0.3486,-0.6073,-0.7751,-0.4341,-0.2442,0,0,1,0,0,0,0,0,1.03305,1.04938,-0.016334,-0.001518,-2,1,0,0,0,1.6606,0.2065,0.0557,0.0122,0,0,0,-1,0,0,-1,0,0,0,1,1,0,0
2010.01.07 00:00,1.02803,1.03699,1.02437,1.03482,1.03474,1.08394,1.03918,1.02419,1.03515,1.03474,1.03221,1.03219,0.0078,-4.5315,-0.4197,1.0383,-0.0323,0.0078,0.2532,0.2551,0,0,1,0,1,1,1,1,1.03304,1.04910,-0.016058,0.000276,-4,0,0,0,0,1.6594,0.2000,0.0293,0.0198,0,0,0,0,1,1,1,1,0,0,0,1,0,0
2010.01.08 00:00,1.03484,1.03835,1.02250,1.02362,1.03317,1.08359,1.03870,1.02392,1.03535,1.03317,1.03002,1.02883,-0.9240,-5.5343,-1.4514,-0.0297,-1.1326,-0.9240,-0.6215,-0.5061,0,0,0,0,0,0,0,0,1.03067,1.04874,-0.018065,-0.002007,-4,0,0,0,0,1.6582,0.2081,0.0315,0.0368,0,0,-1,0,-1,-1,-1,-1,0,0,0,1,0,0
2010.01.11 00:00,1.02376,1.02396,1.01319,1.01598,1.03089,1.08321,1.03818,1.02364,1.03486,1.03089,1.02723,1.02481,-1.4465,-6.2065,-2.1383,-0.7487,-1.8241,-1.4465,-1.0954,-0.8613,0,0,0,0,0,0,0,0,1.02764,1.04834,-0.020700,-0.002636,-4,0,0,0,0,1.6568,0.2165,0.0355,0.0587,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010.01.12 00:00,1.01599,1.02074,1.01443,1.01820,1.02919,1.08282,1.03764,1.02341,1.03451,1.02919,1.02413,1.01927,-1.0680,-5.9677,-1.8734,-0.5091,-1.5771,-1.0680,-0.5792,-0.1047,0,0,0,0,0,0,0,0,1.02420,1.04796,-0.023759,-0.003059,-4,0,0,0,0,1.6555,0.2274,0.2773,0.0694,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010.01.13 00:00,1.01823,1.02183,1.01369,1.01859,1.02738,1.08244,1.03720,1.02318,1.03419,1.02738,1.02224,1.01759,-0.8558,-5.8984,-1.7945,-0.4490,-1.5089,-0.8558,-0.3573,0.0983,0,0,0,0,0,0,1,0,1.02240,1.04761,-0.025203,-0.001444,-4,0,0,0,0,1.6541,0.2229,0.3061,0.0767,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2010.01.14 00:00,1.01800,1.02325,1.01593,1.01863,1.02560,1.08203,1.03678,1.02301,1.03348,1.02560,1.01900,1.01847,-0.6801,-5.8595,-1.7505,-0.4282,-1.4369,-0.6801,-0.0367,0.0154,0,0,0,0,0,0,1,0,1.02103,1.04727,-0.026246,-0.001043,-4,0,0,0,0,1.6532,0.2312,0.2912,0.0861,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010.01.15 00:00,1.01857,1.02856,1.01798,1.02518,1.02467,1.08168,1.03638,1.02290,1.03318,1.02467,1.01932,1.02080,0.0499,-5.2234,-1.0806,0.2224,-0.7744,0.0499,0.5753,0.4291,0,0,1,0,1,1,1,1,1.02159,1.04699,-0.025393,0.000853,-2,0,0,0,0,1.6525,0.2230,0.0943,0.0795,0,0,1,0,1,1,0,1,1,0,0,1,0,0
